code,category,value,areaName
W92000004,-8,1916529,Wales
W92000004,1,136790,Wales
W92000004,2,778991,Wales
W92000004,3,275184,Wales
E12000001,-8,1606109,North East
E12000001,1,117767,North East
E12000001,2,622065,North East
E12000001,3,301072,North East
E12000002,-8,4733507,North West
E12000002,1,333426,North West
E12000002,2,1609858,North West
E12000002,3,740606,North West
E12000003,-8,3481844,Yorkshire and The Humber
E12000003,1,248891,Yorkshire and The Humber
E12000003,2,1214698,Yorkshire and The Humber
E12000003,3,535341,Yorkshire and The Humber
E12000004,-8,3154330,East Midlands
E12000004,1,229221,East Midlands
E12000004,2,1089730,East Midlands
E12000004,3,406772,East Midlands
E12000005,-8,3788317,West Midlands
E12000005,1,262925,West Midlands
E12000005,2,1289185,West Midlands
E12000005,3,610332,West Midlands
E12000006,-8,4215431,East of England
E12000006,1,271820,East of England
E12000006,2,1394562,East of England
E12000006,3,453261,East of England
E12000007,-8,6055820,London
E12000007,1,440731,London
E12000007,2,1336449,London
E12000007,3,966729,London
E12000008,-8,6195264,South East
E12000008,1,420077,South East
E12000008,2,2020237,South East
E12000008,3,642487,South East
E12000009,-8,3657680,South West
E12000009,1,268111,South West
E12000009,2,1407208,South West
E12000009,3,368187,South West
W92000004,-8,1916529,Wales
W92000004,1,136790,Wales
W92000004,2,778991,Wales
W92000004,3,275184,Wales
