code,category,value,areaName
W92000004,N/A,89322,Wales
W92000004,English,2917644,Wales
W92000004,Welsh,0,Wales
W92000004,IrishGaelic,40,Wales
W92000004,ScottishGaelic,10,Wales
W92000004,ManxGaelic,4,Wales
W92000004,Gaelic,8,Wales
W92000004,Cornish,7,Wales
W92000004,Scots,28,Wales
W92000004,UlsterScots,1,Wales
W92000004,RomanyEnghlish,51,Wales
W92000004,IrishTraveller,5,Wales
W92000004,French,1628,Wales
W92000004,Portuguese,3644,Wales
W92000004,Spanish,3065,Wales
W92000004,Italian,2367,Wales
W92000004,German,1213,Wales
W92000004,Polish,20862,Wales
W92000004,Slovak,1416,Wales
W92000004,Czech,1277,Wales
W92000004,Romanian,6020,Wales
W92000004,Lithuanian,1780,Wales
W92000004,Latvian,488,Wales
W92000004,Hungarian,2152,Wales
W92000004,Bulgarian,2489,Wales
W92000004,Greek,1414,Wales
W92000004,Dutch,553,Wales
W92000004,Swedish,240,Wales
W92000004,Danish,102,Wales
W92000004,Finnish,82,Wales
W92000004,Estonian,68,Wales
W92000004,3Slovenian1,67,Wales
W92000004,3Maltese2,75,Wales
W92000004,otherEU,136,Wales
W92000004,Albanian,442,Wales
W92000004,Ukrainian,97,Wales
W92000004,otherEEuropean,6,Wales
W92000004,otherNEuropean,260,Wales
W92000004,BosCroatSerbMont,208,Wales
W92000004,Romani,10,Wales
W92000004,Yiddish,0,Wales
W92000004,Russian,1345,Wales
W92000004,Turkish,2327,Wales
W92000004,Arabic,8515,Wales
W92000004,Hebrew,54,Wales
W92000004,Kurdish,1850,Wales
W92000004,Farsi,1436,Wales
W92000004,Pashto,542,Wales
W92000004,otherWCAsian,144,Wales
W92000004,Urdu,2239,Wales
W92000004,Hindi,638,Wales
W92000004,Panjabi,2086,Wales
W92000004,Pahari,3,Wales
W92000004,Bengali,4671,Wales
W92000004,Gujarati,751,Wales
W92000004,Marathi,157,Wales
W92000004,Telugu,558,Wales
W92000004,Tamil,1635,Wales
W92000004,Malayalam,2018,Wales
W92000004,Sinhala,298,Wales
W92000004,Nepalese,1076,Wales
W92000004,otherSAsian,459,Wales
W92000004,Mandarin,989,Wales
W92000004,Cantonese,1571,Wales
W92000004,otherChinese,4331,Wales
W92000004,Japanese,343,Wales
