code,category,value,areaName
W92000004,-8,1739043,Wales
W92000004,1,143938,Wales
W92000004,2,249466,Wales
W92000004,3,161273,Wales
W92000004,4,128116,Wales
W92000004,5,166613,Wales
W92000004,6,153029,Wales
W92000004,7,114559,Wales
W92000004,8,107475,Wales
W92000004,9,143982,Wales
E12000001,-8,1508957,North East
E12000001,1,112546,North East
E12000001,2,207319,North East
E12000001,3,138466,North East
E12000001,4,111276,North East
E12000001,5,120941,North East
E12000001,6,120123,North East
E12000001,7,107476,North East
E12000001,8,93930,North East
E12000001,9,125979,North East
E12000002,-8,4075652,North West
E12000002,1,381837,North West
E12000002,2,642943,North West
E12000002,3,422028,North West
E12000002,4,323044,North West
E12000002,5,334817,North West
E12000002,6,334929,North West
E12000002,7,281995,North West
E12000002,8,253570,North West
E12000002,9,366583,North West
E12000003,-8,3019405,Yorkshire and The Humber
E12000003,1,275517,Yorkshire and The Humber
E12000003,2,445150,Yorkshire and The Humber
E12000003,3,302214,Yorkshire and The Humber
E12000003,4,222600,Yorkshire and The Humber
E12000003,5,272789,Yorkshire and The Humber
E12000003,6,239674,Yorkshire and The Humber
E12000003,7,204822,Yorkshire and The Humber
E12000003,8,207067,Yorkshire and The Humber
E12000003,9,291535,Yorkshire and The Humber
E12000004,-8,2607730,East Midlands
E12000004,1,272040,East Midlands
E12000004,2,397272,East Midlands
E12000004,3,271177,East Midlands
E12000004,4,206288,East Midlands
E12000004,5,246106,East Midlands
E12000004,6,215486,East Midlands
E12000004,7,174907,East Midlands
E12000004,8,201645,East Midlands
E12000004,9,287403,East Midlands
E12000005,-8,3311868,West Midlands
E12000005,1,304067,West Midlands
E12000005,2,484581,West Midlands
E12000005,3,311517,West Midlands
E12000005,4,247300,West Midlands
E12000005,5,283488,West Midlands
E12000005,6,252225,West Midlands
E12000005,7,206242,West Midlands
E12000005,8,225733,West Midlands
E12000005,9,323736,West Midlands
E12000006,-8,3306433,East of England
E12000006,1,413913,East of England
E12000006,2,593363,East of England
E12000006,3,403020,East of England
E12000006,4,297310,East of England
E12000006,5,323622,East of England
E12000006,6,274802,East of England
E12000006,7,212902,East of England
E12000006,8,209244,East of England
E12000006,9,300465,East of England
E12000007,-8,4439651,London
E12000007,1,634405,London
E12000007,2,1123398,London
E12000007,3,668876,London
E12000007,4,370335,London
E12000007,5,328042,London
E12000007,6,336092,London
E12000007,7,276860,London
E12000007,8,219351,London
E12000007,9,402718,London
E12000008,-8,4806285,South East
E12000008,1,665423,South East
E12000008,2,948916,South East
E12000008,3,637552,South East
E12000008,4,418153,South East
E12000008,5,447317,South East
E12000008,6,406891,South East
E12000008,7,304995,South East
E12000008,8,248363,South East
E12000008,9,394167,South East
E12000009,-8,3008852,South West
E12000009,1,344168,South West
E12000009,2,513706,South West
E12000009,3,344899,South West
E12000009,4,250257,South West
E12000009,5,326017,South West
E12000009,6,266925,South West
E12000009,7,202354,South West
E12000009,8,173764,South West
E12000009,9,270244,South West
W92000004,-8,1739043,Wales
W92000004,1,143938,Wales
W92000004,2,249466,Wales
W92000004,3,161273,Wales
W92000004,4,128116,Wales
W92000004,5,166613,Wales
W92000004,6,153029,Wales
W92000004,7,114559,Wales
W92000004,8,107475,Wales
W92000004,9,143982,Wales
